"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","01-Jan-2014","       2172.05","       2180.10","       2184.50","       2151.10","       2153.70","       2153.30","       2159.55","     264976","           572228100.10","      15040","     105354","         39.76"
"TCS","EQ","02-Jan-2014","       2153.30","       2166.00","       2189.00","       2156.15","       2167.95","       2167.00","       2170.96","     863474","          1874565230.40","      60050","     550431","         63.75"
"TCS","EQ","03-Jan-2014","       2167.00","       2164.70","       2229.10","       2147.25","       2224.10","       2222.20","       2206.70","    1309087","          2888756659.20","      84697","     660519","         50.46"
"TCS","EQ","06-Jan-2014","       2222.20","       2229.00","       2244.00","       2197.00","       2234.80","       2239.60","       2224.18","    1155905","          2570940803.45","      75432","     685611","         59.31"
"TCS","EQ","07-Jan-2014","       2239.60","       2240.00","       2256.45","       2199.00","       2207.90","       2206.15","       2227.87","    1448743","          3227613039.35","      62312","     891246","         61.52"
"TCS","EQ","08-Jan-2014","       2206.15","       2212.00","       2244.00","       2210.00","       2229.95","       2232.65","       2230.54","    1275010","          2843954798.30","      98989","     885134","         69.42"
"TCS","EQ","09-Jan-2014","       2232.65","       2228.75","       2255.50","       2222.10","       2239.00","       2241.95","       2239.21","    1291103","          2891057118.30","      65056","     951806","         73.72"
"TCS","EQ","10-Jan-2014","       2241.95","       2260.00","       2309.80","       2235.00","       2290.00","       2280.90","       2277.05","    1684667","          3836071888.90","     114749","     919520","         54.58"
"TCS","EQ","13-Jan-2014","       2280.90","       2285.00","       2384.00","       2285.00","       2380.00","       2368.75","       2345.06","    1907158","          4472403152.65","      98245","    1205443","         63.21"
"TCS","EQ","14-Jan-2014","       2368.75","       2372.00","       2384.80","       2320.00","       2330.00","       2326.75","       2339.00","    1487482","          3479222656.95","      80128","     923510","         62.09"
"TCS","EQ","15-Jan-2014","       2326.75","       2342.45","       2378.20","       2327.00","       2361.00","       2353.60","       2353.56","    1524427","          3587831226.70","      96472","     946527","         62.09"
"TCS","EQ","16-Jan-2014","       2353.60","       2380.00","       2380.10","       2325.00","       2359.00","       2350.30","       2348.09","    1498981","          3519743197.80","      71105","     780159","         52.05"
"TCS","EQ","17-Jan-2014","       2350.30","       2298.00","       2298.00","       2206.05","       2219.85","       2213.05","       2243.52","    3782378","          8485841479.05","     175551","    1795473","         47.47"
"TCS","EQ","20-Jan-2014","       2213.05","       2218.95","       2350.00","       2215.50","       2334.90","       2338.20","       2297.80","    3005279","          6905529095.90","     117743","    1466375","         48.79"
"TCS","EQ","21-Jan-2014","       2338.20","       2334.00","       2339.25","       2275.10","       2285.25","       2280.30","       2296.99","    1566141","          3597417846.30","      80762","     648210","         41.39"
"TCS","EQ","22-Jan-2014","       2280.30","       2287.10","       2296.85","       2264.10","       2270.35","       2274.05","       2278.77","    1192015","          2716333487.25","      46033","     678030","         56.88"
"TCS","EQ","23-Jan-2014","       2274.05","       2268.10","       2276.70","       2237.30","       2254.15","       2252.45","       2255.27","    1145381","          2583139546.30","      76521","     630085","         55.01"
"TCS","EQ","24-Jan-2014","       2252.45","       2244.00","       2283.25","       2235.00","       2249.00","       2248.70","       2265.00","     925133","          2095426383.45","      47071","     439013","         47.45"
"TCS","EQ","27-Jan-2014","       2248.70","       2226.00","       2259.50","       2220.10","       2237.00","       2229.60","       2238.52","    1266474","          2835021950.15","      66877","     746905","         58.98"
"TCS","EQ","28-Jan-2014","       2229.60","       2232.00","       2247.85","       2196.10","       2215.00","       2212.35","       2218.54","    1426083","          3163827430.70","      86501","    1007345","         70.64"
"TCS","EQ","29-Jan-2014","       2212.35","       2240.00","       2240.00","       2205.00","       2213.05","       2209.80","       2218.34","     849038","          1883455043.45","      71191","     537879","         63.35"
"TCS","EQ","30-Jan-2014","       2209.80","       2198.05","       2227.00","       2190.00","       2222.25","       2217.60","       2203.42","    1112625","          2451582604.00","      55368","     711029","         63.91"
"TCS","EQ","31-Jan-2014","       2217.60","       2225.10","       2269.80","       2221.00","       2230.95","       2241.05","       2252.12","    1087123","          2448326371.30","      50891","     630268","         57.98"
"TCS","EQ","03-Feb-2014","       2241.05","       2222.00","       2244.25","       2190.80","       2192.70","       2194.45","       2205.35","     681240","          1502375512.80","      42400","     473787","         69.55"
"TCS","EQ","04-Feb-2014","       2194.45","       2174.00","       2175.00","       2112.05","       2162.00","       2151.35","       2142.57","    1347083","          2886220024.10","     104256","     803065","         59.62"
"TCS","EQ","05-Feb-2014","       2151.35","       2163.80","       2200.00","       2140.00","       2196.25","       2194.40","       2172.56","     926825","          2013584896.65","      70158","     445505","         48.07"
"TCS","EQ","06-Feb-2014","       2194.40","       2180.00","       2189.90","       2145.00","       2169.60","       2175.25","       2169.33","     961326","          2085435565.55","      69578","     559364","         58.19"
